Servicing Agent,CUTOFF,FYP(-),FYP(+)
60000194,20230131,0.0,0.0
60000449,20230131,0.0,0.0
60000482,20230131,0.0,16026000.0
60000564,20230131,0.0,0.0
60000717,20230131,0.0,16141000.0
60000727,20230131,0.0,51640000.0
60000908,20230131,0.0,0.0
60001094,20230131,0.0,0.0
60001255,20230131,0.0,0.0
60001457,20230131,0.0,761500.0
60001470,20230131,0.0,514100.0
60001894,20230131,0.0,0.0
60002084,20230131,0.0,0.0
60002504,20230131,0.0,0.0
60002860,20230131,0.0,20100.0
60002954,20230131,0.0,0.0
60003391,20230131,0.0,0.0
60003427,20230131,0.0,0.0
60003542,20230131,0.0,945800.0
60004295,20230131,0.0,271300.0
60004663,20230131,0.0,0.0
60004979,20230131,0.0,0.0
60005229,20230131,0.0,3192300.0
60005359,20230131,0.0,577900.0
60005410,20230131,0.0,0.0
60005526,20230131,0.0,1119200.0
60005617,20230131,0.0,0.0
60005648,20230131,0.0,0.0
60005660,20230131,0.0,10178000.0
60005705,20230131,0.0,0.0
60005760,20230131,0.0,0.0
60005858,20230131,0.0,312500.0
60005897,20230131,0.0,12289000.0
60005947,20230131,0.0,1248800.0
60006168,20230131,0.0,19000.0
60006251,20230131,0.0,132000.0
60006440,20230131,0.0,18002000.0
60006447,20230131,0.0,1584500.0
60006569,20230131,0.0,439600.0
60006589,20230131,0.0,0.0
60006625,20230131,0.0,0.0
60006667,20230131,0.0,0.0
60006668,20230131,0.0,0.0
60006669,20230131,0.0,0.0
60006672,20230131,0.0,0.0
60006677,20230131,0.0,16558000.0
60006707,20230131,0.0,221000.0
60006743,20230131,0.0,0.0
60006754,20230131,0.0,16595000.0
60006786,20230131,0.0,10223000.0
60006894,20230131,0.0,80873000.0
60006914,20230131,0.0,0.0
60006916,20230131,0.0,0.0
60006926,20230131,0.0,0.0
60007095,20230131,0.0,0.0
60007127,20230131,0.0,0.0
60007165,20230131,0.0,0.0
60007492,20230131,0.0,116800.0
60007528,20230131,0.0,874700.0
60007595,20230131,0.0,0.0
60007655,20230131,0.0,322000.0
60007696,20230131,0.0,0.0
60007702,20230131,0.0,0.0
60007707,20230131,0.0,0.0
60007708,20230131,0.0,92353200.0
60007710,20230131,0.0,505300.0
60007717,20230131,0.0,381600.0
60007834,20230131,0.0,0.0
60007847,20230131,0.0,637100.0
60008144,20230131,0.0,375800.0
60008153,20230131,0.0,88800.0
60008248,20230131,0.0,370800.0
60008296,20230131,0.0,15572000.0
60008299,20230131,0.0,263200.0
60008316,20230131,0.0,330200.0
60008318,20230131,0.0,0.0
60008350,20230131,0.0,135300.0
60008398,20230131,0.0,267600.0
60008405,20230131,0.0,0.0
60008440,20230131,0.0,947500.0
60008447,20230131,0.0,0.0
60008469,20230131,0.0,16623000.0
60008543,20230131,0.0,8249000.0
60008571,20230131,0.0,0.0
60008572,20230131,0.0,259400.0
60008585,20230131,0.0,0.0
60008631,20230131,0.0,0.0
60008637,20230131,0.0,1201200.0
60008710,20230131,0.0,297900.0
60008718,20230131,0.0,435200.0
60008776,20230131,0.0,19206900.0
60008788,20230131,0.0,0.0
60008849,20230131,0.0,218800.0
60008853,20230131,0.0,0.0
60008893,20230131,0.0,805200.0
60008927,20230131,0.0,35674900.0
60008928,20230131,0.0,12373700.0
60008930,20230131,0.0,10568000.0
60008936,20230131,0.0,12122000.0
60008938,20230131,0.0,0.0
60008953,20230131,0.0,0.0
60008955,20230131,0.0,312000.0
60008972,20230131,0.0,0.0
60009025,20230131,0.0,0.0
60009026,20230131,0.0,75600.0
60009098,20230131,0.0,0.0
60009100,20230131,0.0,0.0
60009114,20230131,0.0,0.0
60009123,20230131,0.0,573400.0
60009139,20230131,0.0,0.0
60009248,20230131,0.0,372200.0
60009300,20230131,0.0,257400.0
60009335,20230131,0.0,0.0
60009348,20230131,0.0,265800.0
60009402,20230131,0.0,0.0
60009481,20230131,0.0,0.0
60009490,20230131,0.0,22064000.0
60009496,20230131,0.0,215400.0
60009501,20230131,0.0,0.0
60009597,20230131,0.0,0.0
60009604,20230131,0.0,0.0
60009632,20230131,0.0,987200.0
60009695,20230131,0.0,0.0
60009698,20230131,0.0,0.0
60009733,20230131,0.0,433100.0
60009754,20230131,0.0,0.0
60009770,20230131,0.0,241600.0
60009800,20230131,0.0,7460000.0
60009815,20230131,0.0,0.0
60009868,20230131,0.0,110400.0
60009876,20230131,0.0,0.0
60009895,20230131,0.0,1431700.0
60009925,20230131,0.0,0.0
60009928,20230131,0.0,0.0
60009931,20230131,0.0,0.0
60009998,20230131,0.0,0.0
60010004,20230131,0.0,255500.0
60010007,20230131,0.0,286700.0
60010102,20230131,0.0,292900.0
60010297,20230131,0.0,18050000.0
60010307,20230131,0.0,0.0
60010314,20230131,0.0,378000.0
60010418,20230131,0.0,0.0
60010424,20230131,0.0,362000.0
60010440,20230131,0.0,0.0
60010560,20230131,0.0,0.0
60010691,20230131,0.0,0.0
60010705,20230131,0.0,0.0
60010785,20230131,0.0,0.0
60010810,20230131,0.0,487600.0
60010828,20230131,0.0,0.0
60010830,20230131,0.0,0.0
60010896,20230131,0.0,197700.0
60010920,20230131,0.0,253300.0
60010925,20230131,0.0,0.0
60010948,20230131,0.0,0.0
60010957,20230131,0.0,5184000.0
60011083,20230131,0.0,0.0
60011112,20230131,0.0,48500.0
60011125,20230131,0.0,100000.0
60011127,20230131,0.0,102200.0
60011147,20230131,0.0,0.0
60011220,20230131,0.0,95000.0
60011224,20230131,0.0,510400.0
60011277,20230131,0.0,0.0
60011294,20230131,0.0,10029000.0
60011299,20230131,0.0,0.0
60011319,20230131,0.0,0.0
60011331,20230131,0.0,0.0
60011375,20230131,0.0,0.0
60011382,20230131,0.0,0.0
60011395,20230131,0.0,115900.0
60011529,20230131,0.0,0.0
60011561,20230131,0.0,185800.0
60011562,20230131,0.0,909800.0
60011576,20230131,0.0,0.0
60011582,20230131,0.0,0.0
60011631,20230131,0.0,0.0
60011633,20230131,0.0,0.0
60011716,20230131,0.0,0.0
60011752,20230131,0.0,240500.0
60011794,20230131,0.0,0.0
60011799,20230131,0.0,169900.0
60011862,20230131,0.0,0.0
60011880,20230131,0.0,382900.0
60011898,20230131,0.0,340300.0
60011915,20230131,0.0,0.0
60011925,20230131,0.0,0.0
60011927,20230131,0.0,0.0
60011951,20230131,0.0,307100.0
60011952,20230131,0.0,0.0
60011973,20230131,0.0,0.0
60012001,20230131,0.0,0.0
60012011,20230131,0.0,239500.0
60012035,20230131,0.0,0.0
60012054,20230131,0.0,0.0
60012081,20230131,0.0,9432000.0
60012128,20230131,0.0,206600.0
60012161,20230131,0.0,0.0
60012163,20230131,0.0,100000.0
60012169,20230131,0.0,0.0
60012230,20230131,0.0,226100.0
60012232,20230131,0.0,302900.0
60012256,20230131,0.0,27978000.0
60012281,20230131,0.0,0.0
60012287,20230131,0.0,84700.0
60012312,20230131,0.0,370000.0
60012401,20230131,0.0,1451100.0
60012429,20230131,0.0,139000.0
60012433,20230131,0.0,0.0
60012478,20230131,0.0,0.0
60012479,20230131,0.0,0.0
60012485,20230131,0.0,276400.0
60012548,20230131,0.0,0.0
60012551,20230131,0.0,184700.0
60012573,20230131,0.0,0.0
60012619,20230131,0.0,20978000.0
60012686,20230131,0.0,392500.0
60012689,20230131,0.0,32300.0
60012700,20230131,0.0,0.0
60012709,20230131,0.0,175800.0
60012729,20230131,0.0,0.0
60012735,20230131,0.0,0.0
60012920,20230131,0.0,0.0
60012932,20230131,0.0,109600.0
60013028,20230131,0.0,10129000.0
60013081,20230131,0.0,0.0
60013104,20230131,0.0,280400.0
60013338,20230131,0.0,0.0
60013398,20230131,0.0,8005000.0
60013438,20230131,0.0,158200.0
60013462,20230131,0.0,0.0
60013628,20230131,0.0,0.0
60013672,20230131,0.0,214100.0
60013734,20230131,0.0,8887000.0
60013742,20230131,0.0,0.0
60013855,20230131,0.0,78200.0
60013890,20230131,0.0,189000.0
60013928,20230131,0.0,91400.0
60014027,20230131,0.0,367500.0
60014118,20230131,0.0,0.0
60014232,20230131,0.0,243500.0
60014356,20230131,0.0,0.0
60014408,20230131,0.0,0.0
60014424,20230131,0.0,33018000.0
60014462,20230131,-14015000.0,4229500.0
60014465,20230131,0.0,8229000.0
60014474,20230131,0.0,318400.0
60014534,20230131,0.0,0.0
60014554,20230131,0.0,0.0
60014569,20230131,0.0,46400.0
60014571,20230131,0.0,164100.0
60014573,20230131,0.0,0.0
60014652,20230131,0.0,0.0
60014700,20230131,0.0,185400.0
60014719,20230131,0.0,0.0
60014728,20230131,0.0,121200.0
60014768,20230131,0.0,400300.0
60014794,20230131,0.0,312000.0
60014817,20230131,0.0,0.0
60014821,20230131,0.0,244300.0
60014843,20230131,0.0,0.0
60014857,20230131,0.0,0.0
60014887,20230131,0.0,221900.0
60014908,20230131,0.0,0.0
60014977,20230131,0.0,1680000.0
60015089,20230131,0.0,0.0
60015191,20230131,0.0,0.0
60015228,20230131,0.0,0.0
60015249,20230131,0.0,501000.0
60015277,20230131,0.0,205800.0
60015378,20230131,0.0,280000.0
60015379,20230131,0.0,0.0
60015381,20230131,0.0,273700.0
60015399,20230131,0.0,133800.0
60015407,20230131,-12000000.0,288500.0
60015415,20230131,0.0,0.0
60015441,20230131,0.0,445800.0
60015446,20230131,0.0,0.0
60015449,20230131,0.0,0.0
60015500,20230131,0.0,0.0
60015524,20230131,0.0,0.0
60015532,20230131,0.0,0.0
60015545,20230131,0.0,128100.0
60015560,20230131,0.0,0.0
60015584,20230131,0.0,0.0
60015587,20230131,0.0,72500.0
60015691,20230131,0.0,498000.0
60015698,20230131,0.0,0.0
60015713,20230131,0.0,30107000.0
60015744,20230131,0.0,0.0
60015749,20230131,0.0,0.0
60015807,20230131,0.0,193700.0
60015906,20230131,0.0,656800.0
60016003,20230131,0.0,0.0
60016048,20230131,0.0,79600.0
60016088,20230131,0.0,764400.0
60016208,20230131,0.0,256100.0
60016222,20230131,0.0,193300.0
60016243,20230131,0.0,452700.0
60016244,20230131,0.0,472700.0
60016286,20230131,0.0,13000000.0
60016287,20230131,0.0,149700.0
60016324,20230131,0.0,614600.0
60016348,20230131,0.0,182700.0
60016349,20230131,0.0,0.0
60016351,20230131,0.0,0.0
60016432,20230131,0.0,0.0
60016451,20230131,0.0,0.0
60016504,20230131,0.0,0.0
60016505,20230131,0.0,0.0
60016512,20230131,0.0,0.0
60016557,20230131,0.0,4295500.0
60016602,20230131,0.0,0.0
60016623,20230131,0.0,0.0
60016698,20230131,0.0,141100.0
60016711,20230131,0.0,497700.0
60016745,20230131,0.0,80600.0
60016764,20230131,0.0,16091000.0
60016778,20230131,0.0,0.0
60016900,20230131,0.0,26500.0
60016950,20230131,0.0,-341400.0
60016973,20230131,0.0,1407500.0
60016979,20230131,0.0,327000.0
60016991,20230131,0.0,0.0
60016997,20230131,0.0,279600.0
60017006,20230131,0.0,0.0
60017014,20230131,0.0,0.0
60017064,20230131,0.0,263700.0
60017069,20230131,0.0,0.0
60017116,20230131,0.0,2814000.0
60017166,20230131,0.0,66600.0
60017184,20230131,0.0,0.0
60017205,20230131,0.0,0.0
60017286,20230131,0.0,212900.0
60017313,20230131,0.0,0.0
60017326,20230131,0.0,330500.0
60017340,20230131,0.0,1160700.0
60017347,20230131,0.0,0.0
60017384,20230131,0.0,190800.0
60017388,20230131,0.0,0.0
60017405,20230131,0.0,0.0
60017429,20230131,0.0,258300.0
60017439,20230131,0.0,0.0
60017473,20230131,0.0,1007000.0
60017514,20230131,0.0,142700.0
60017548,20230131,0.0,600000.0
60017574,20230131,0.0,-216500.0
60017642,20230131,0.0,645400.0
60017698,20230131,0.0,0.0
60017713,20230131,0.0,0.0
60017718,20230131,0.0,1255200.0
60017720,20230131,0.0,0.0
60017777,20230131,0.0,0.0
60017833,20230131,0.0,0.0
60017835,20230131,0.0,0.0
60017843,20230131,0.0,0.0
60017867,20230131,0.0,275200.0
60017993,20230131,0.0,0.0
60018011,20230131,0.0,262900.0
60018012,20230131,0.0,668000.0
60018018,20230131,0.0,362000.0
60018030,20230131,0.0,8009000.0
60018048,20230131,0.0,1628100.0
60018068,20230131,0.0,625900.0
60018132,20230131,0.0,0.0
60018133,20230131,0.0,0.0
60018138,20230131,0.0,0.0
60018139,20230131,0.0,0.0
60018140,20230131,0.0,0.0
60018215,20230131,0.0,720400.0
60018301,20230131,0.0,403000.0
60018341,20230131,0.0,0.0
60018371,20230131,0.0,0.0
60018415,20230131,0.0,186100.0
60018423,20230131,0.0,0.0
60018430,20230131,0.0,-200000.0
60018453,20230131,0.0,0.0
60018485,20230131,0.0,0.0
60018496,20230131,0.0,0.0
60018524,20230131,0.0,0.0
60018614,20230131,0.0,250100.0
60018637,20230131,0.0,152500.0
60018661,20230131,0.0,0.0
60018667,20230131,0.0,252500.0
60018668,20230131,-21210000.0,16663100.0
60018761,20230131,0.0,200000.0
60018764,20230131,0.0,209600.0
60018770,20230131,0.0,0.0
60018788,20230131,0.0,0.0
60018792,20230131,0.0,0.0
60018797,20230131,0.0,0.0
60018798,20230131,0.0,0.0
60018824,20230131,0.0,0.0
60018838,20230131,0.0,466000.0
60018887,20230131,0.0,0.0
60018907,20230131,0.0,9342700.0
60018975,20230131,0.0,0.0
60019008,20230131,0.0,669100.0
60019060,20230131,0.0,0.0
60019075,20230131,0.0,-298900.0
60019090,20230131,0.0,0.0
60019093,20230131,0.0,0.0
60019099,20230131,0.0,0.0
60019100,20230131,-13000000.0,0.0
60019105,20230131,0.0,0.0
60019132,20230131,0.0,64700.0
60019156,20230131,0.0,0.0
60019168,20230131,0.0,0.0
60019169,20230131,0.0,0.0
60019239,20230131,0.0,0.0
60019245,20230131,0.0,52300.0
60019298,20230131,0.0,339600.0
60019306,20230131,0.0,127800.0
60019309,20230131,0.0,0.0
60019326,20230131,0.0,0.0
60019373,20230131,0.0,170600.0
60019374,20230131,0.0,0.0
60019410,20230131,0.0,12000000.0
60019428,20230131,0.0,0.0
60019509,20230131,0.0,0.0
60019648,20230131,0.0,0.0
60019678,20230131,0.0,2600.0
60019685,20230131,0.0,486500.0
60019707,20230131,0.0,10081000.0
60019728,20230131,0.0,350100.0
60019730,20230131,0.0,0.0
60019749,20230131,0.0,501500.0
60019797,20230131,0.0,0.0
60019802,20230131,0.0,0.0
60019994,20230131,0.0,0.0
60020000,20230131,0.0,0.0
60020038,20230131,0.0,280900.0
60020041,20230131,0.0,117400.0
60020064,20230131,0.0,369500.0
60020096,20230131,0.0,86000.0
60020098,20230131,0.0,229700.0
60020115,20230131,0.0,0.0
60020151,20230131,0.0,752300.0
60020190,20230131,0.0,0.0
60020269,20230131,0.0,12062000.0
60020387,20230131,0.0,0.0
60020392,20230131,0.0,0.0
60020444,20230131,0.0,51000.0
60020497,20230131,0.0,541800.0
60020618,20230131,0.0,-27000.0
60020671,20230131,0.0,298800.0
60020680,20230131,0.0,0.0
60020792,20230131,0.0,500000.0
60020825,20230131,0.0,0.0
60020826,20230131,0.0,0.0
60020876,20230131,0.0,286300.0
60020906,20230131,0.0,27600.0
60020911,20230131,0.0,1841000.0
60020925,20230131,0.0,67000.0
60020934,20230131,0.0,0.0
60020956,20230131,0.0,868900.0
60020967,20230131,0.0,0.0
60020975,20230131,0.0,17222000.0
60021031,20230131,0.0,0.0
60021036,20230131,0.0,0.0
60021038,20230131,0.0,281600.0
60021044,20230131,0.0,0.0
60021046,20230131,0.0,96000.0
60021047,20230131,0.0,75900.0
60021104,20230131,0.0,0.0
60021109,20230131,0.0,0.0
60021136,20230131,0.0,3956000.0
60021151,20230131,0.0,584600.0
60021255,20230131,0.0,0.0
60021262,20230131,0.0,0.0
60021264,20230131,0.0,97000.0
60021309,20230131,0.0,0.0
60021352,20230131,0.0,0.0
60021353,20230131,0.0,171600.0
60021355,20230131,0.0,0.0
60021373,20230131,0.0,510200.0
60021374,20230131,0.0,96900.0
60021411,20230131,0.0,503900.0
60021426,20230131,0.0,218100.0
60021471,20230131,0.0,282800.0
60021489,20230131,0.0,187600.0
60021522,20230131,0.0,148100.0
60021572,20230131,0.0,178300.0
60021612,20230131,0.0,0.0
60021638,20230131,0.0,434900.0
60021643,20230131,0.0,0.0
60021657,20230131,0.0,0.0
60021670,20230131,0.0,0.0
60021768,20230131,0.0,570600.0
60021782,20230131,0.0,344700.0
60021820,20230131,0.0,0.0
60021867,20230131,0.0,0.0
60021937,20230131,0.0,830500.0
60021978,20230131,0.0,12000000.0
60022035,20230131,0.0,0.0
60022049,20230131,0.0,286400.0
60022084,20230131,0.0,0.0
60022104,20230131,0.0,0.0
60022199,20230131,0.0,-216700.0
60022202,20230131,0.0,22000000.0
60022216,20230131,0.0,459300.0
60022264,20230131,0.0,0.0
60022274,20230131,0.0,2579000.0
60022306,20230131,0.0,100000.0
60022331,20230131,0.0,0.0
60022354,20230131,0.0,0.0
60022359,20230131,0.0,15519000.0
60022382,20230131,0.0,383500.0
60022403,20230131,0.0,0.0
60022417,20230131,0.0,122200.0
60022433,20230131,0.0,0.0
60022437,20230131,0.0,519200.0
60022448,20230131,0.0,0.0
60022460,20230131,0.0,332800.0
60022467,20230131,0.0,0.0
60022495,20230131,0.0,626900.0
60022519,20230131,0.0,0.0
60022528,20230131,0.0,0.0
60022591,20230131,0.0,160800.0
60022592,20230131,0.0,266900.0
60022661,20230131,0.0,375400.0
60022663,20230131,0.0,0.0
60022665,20230131,0.0,2538400.0
60022691,20230131,0.0,0.0
60022703,20230131,0.0,232600.0
60022726,20230131,0.0,341600.0
60022750,20230131,0.0,395000.0
60022763,20230131,0.0,1330000.0
60022764,20230131,0.0,0.0
60022765,20230131,0.0,0.0
60022768,20230131,0.0,165100.0
60022773,20230131,0.0,0.0
60022774,20230131,0.0,120600.0
60022776,20230131,0.0,261000.0
60022802,20230131,0.0,178800.0
60022822,20230131,0.0,0.0
60022827,20230131,0.0,0.0
60022870,20230131,0.0,114700.0
60022885,20230131,0.0,0.0
60022933,20230131,0.0,0.0
60022937,20230131,0.0,0.0
60022955,20230131,0.0,0.0
60022960,20230131,0.0,972000.0
60022961,20230131,0.0,400600.0
60022968,20230131,0.0,132500.0
60022975,20230131,0.0,156000.0
60023038,20230131,0.0,551500.0
60023039,20230131,0.0,0.0
60023040,20230131,0.0,321400.0
60023050,20230131,0.0,467500.0
60023051,20230131,0.0,71600.0
60023053,20230131,0.0,274000.0
60023058,20230131,0.0,0.0
60023084,20230131,0.0,184600.0
60023122,20230131,0.0,591000.0
60023135,20230131,0.0,0.0
60023159,20230131,0.0,0.0
60023160,20230131,0.0,0.0
60023164,20230131,0.0,621500.0
60023189,20230131,0.0,293600.0
60023201,20230131,0.0,467700.0
60023247,20230131,0.0,357000.0
60023251,20230131,0.0,0.0
60023289,20230131,0.0,164400.0
60023312,20230131,0.0,0.0
60023317,20230131,0.0,0.0
60023323,20230131,0.0,0.0
60023329,20230131,0.0,427400.0
60023333,20230131,0.0,219200.0
60023343,20230131,0.0,0.0
60023357,20230131,0.0,0.0
60023373,20230131,0.0,-580500.0
60023409,20230131,0.0,202500.0
60023433,20230131,0.0,289400.0
60023451,20230131,0.0,1420000.0
60023463,20230131,0.0,0.0
60023481,20230131,0.0,457700.0
60023490,20230131,0.0,0.0
60023493,20230131,0.0,346200.0
60023530,20230131,0.0,0.0
60023535,20230131,0.0,62400.0
60023555,20230131,0.0,0.0
60023566,20230131,0.0,0.0
60023574,20230131,0.0,0.0
60023608,20230131,0.0,0.0
60023615,20230131,0.0,0.0
60023620,20230131,0.0,0.0
60023655,20230131,0.0,0.0
60023678,20230131,0.0,0.0
60023690,20230131,0.0,301400.0
60023705,20230131,0.0,16668000.0
60023717,20230131,0.0,12000000.0
60023737,20230131,0.0,0.0
60023744,20230131,0.0,602800.0
60023752,20230131,0.0,0.0
60023760,20230131,0.0,0.0
60023800,20230131,0.0,0.0
60023834,20230131,0.0,745600.0
60023858,20230131,0.0,0.0
60023861,20230131,0.0,814200.0
60023890,20230131,0.0,0.0
60023917,20230131,0.0,0.0
60023918,20230131,0.0,389500.0
60023940,20230131,0.0,362800.0
60023945,20230131,0.0,0.0
60023963,20230131,0.0,0.0
60024022,20230131,0.0,326200.0
60024038,20230131,0.0,149500.0
60024042,20230131,0.0,0.0
60024050,20230131,0.0,0.0
60024058,20230131,0.0,0.0
60024065,20230131,0.0,0.0
60024104,20230131,0.0,590300.0
60024134,20230131,0.0,116500.0
60024145,20230131,0.0,0.0
60024183,20230131,0.0,39100.0
60024184,20230131,0.0,0.0
60024186,20230131,0.0,160700.0
60024188,20230131,0.0,0.0
60024210,20230131,0.0,0.0
60024218,20230131,0.0,0.0
60024227,20230131,0.0,0.0
60024239,20230131,0.0,155500.0
60024242,20230131,0.0,867000.0
60024250,20230131,0.0,855100.0
60024254,20230131,0.0,211700.0
60024273,20230131,0.0,0.0
60024274,20230131,0.0,0.0
60024278,20230131,0.0,279000.0
60024280,20230131,0.0,70400.0
60024283,20230131,0.0,175000.0
60024286,20230131,0.0,347900.0
60024304,20230131,-12000000.0,29085000.0
60024318,20230131,0.0,238200.0
60024320,20230131,0.0,140200.0
60024325,20230131,0.0,26183800.0
60024365,20230131,0.0,0.0
60024367,20230131,0.0,0.0
60024394,20230131,0.0,0.0
60024471,20230131,0.0,274900.0
60024522,20230131,0.0,1974600.0
60024540,20230131,0.0,0.0
60024550,20230131,0.0,0.0
60024589,20230131,0.0,0.0
60024609,20230131,0.0,0.0
60024649,20230131,0.0,0.0
60024733,20230131,0.0,0.0
60024808,20230131,0.0,0.0
60024816,20230131,0.0,0.0
60024833,20230131,0.0,0.0
60024843,20230131,0.0,0.0
60024844,20230131,0.0,0.0
60024845,20230131,0.0,0.0
60024904,20230131,0.0,0.0
60024916,20230131,0.0,1889200.0
60024921,20230131,0.0,0.0
60024925,20230131,0.0,207800.0
60024951,20230131,0.0,146400.0
60025007,20230131,0.0,53900.0
60025011,20230131,0.0,0.0
60025030,20230131,0.0,197500.0
60025196,20230131,0.0,0.0
60025217,20230131,0.0,0.0
60025234,20230131,0.0,24673700.0
60025243,20230131,0.0,0.0
60025244,20230131,0.0,0.0
60025248,20230131,0.0,0.0
60025280,20230131,0.0,0.0
60025374,20230131,0.0,1253600.0
60025381,20230131,0.0,15086000.0
60025432,20230131,0.0,0.0
60025485,20230131,0.0,0.0
60025509,20230131,0.0,0.0
60025543,20230131,0.0,0.0
60025548,20230131,0.0,0.0
60025570,20230131,0.0,0.0
60025572,20230131,0.0,0.0
60025668,20230131,0.0,0.0
60025685,20230131,0.0,0.0
60025734,20230131,0.0,0.0
60025740,20230131,0.0,0.0
60025741,20230131,0.0,0.0
60025902,20230131,0.0,0.0
60025977,20230131,0.0,0.0
60025995,20230131,0.0,0.0
60025997,20230131,0.0,67400.0
60026018,20230131,0.0,0.0
60026021,20230131,0.0,0.0
