,Issuing Agent,Policy No,POLICY ACKNOWLED,CC_Month
126132,60074762,80133026,2023-02-14,2
126133,60076014,80133027,2023-02-06,2
126135,60010010,80133893,2023-02-21,2
126136,60010010,80133894,2023-02-21,2
126142,60075989,80132632,2023-02-02,2
126143,60074543,80133031,2023-02-21,2
126144,60026306,80133736,2023-02-21,2
126145,60075778,80133737,2023-02-17,2
126146,60075766,80133738,2023-02-16,2
126149,60075988,80132633,2023-02-02,2
126150,60075658,80132634,2023-02-02,2
126151,60074595,80132635,2023-02-08,2
126153,60075980,80132637,2023-02-14,2
126156,60075778,80133740,2023-02-16,2
126157,60075766,80133741,2023-02-16,2
126159,60075766,80133743,2023-02-19,2
126163,60075689,80133747,2023-02-19,2
126164,60076209,80133748,2023-02-24,2
126166,60076102,80133033,2023-02-07,2
126169,60075886,80133036,2023-02-08,2
126174,60076247,80133898,2023-02-23,2
126175,60075146,80133900,2023-02-28,2
126176,60076247,80133901,2023-02-22,2
126179,60076220,80133904,2023-02-25,2
126181,60075074,80133288,2023-02-15,2
126190,60075798,80132644,2023-02-07,2
126194,60075725,80133038,2023-02-08,2
126195,60075374,80133039,2023-02-07,2
126199,60074666,80133907,2023-02-27,2
126203,60076231,80133755,2023-02-18,2
126209,60075827,80132649,2023-02-07,2
126214,60075821,80132651,2023-02-06,2
126216,60075825,80132653,2023-02-07,2
126218,60075809,80132655,2023-02-20,2
126219,60075782,80132656,2023-02-06,2
126220,60076247,80133911,2023-02-27,2
126224,60039572,80133915,2023-02-20,2
126225,60074111,80133916,2023-02-25,2
126229,60039572,80133045,2023-02-14,2
126240,60074550,80133048,2023-02-13,2
126241,60074543,80133049,2023-02-21,2
126242,60073752,80133050,2023-02-06,2
126243,60075459,80133051,2023-02-11,2
126246,60073306,80133054,2023-02-08,2
126247,60076148,80133055,2023-02-07,2
126249,60076141,80133058,2023-02-07,2
126250,60073306,80133059,2023-02-08,2
126252,60075213,80133061,2023-02-23,2
126254,60076141,80133063,2023-02-07,2
126255,60076148,80133064,2023-02-07,2
126256,60073255,80133066,2023-02-20,2
126257,60073255,80133067,2023-02-07,2
126259,60073255,80133070,2023-02-07,2
126262,60073330,80133071,2023-02-07,2
126263,60075573,80133074,2023-02-10,2
126264,60075573,80133075,2023-02-13,2
126266,60073831,80133078,2023-02-23,2
126273,60076263,80133917,2023-02-24,2
126275,60059606,80133919,2023-03-03,1
126276,60074577,80133089,2023-02-07,2
126277,60069067,80133090,2023-02-13,2
126278,60073255,80133091,2023-02-14,2
126279,60075704,80133092,2023-02-15,2
126286,60074739,80133765,2023-02-27,2
126287,60076208,80133766,2023-02-24,2
126292,60060797,80133302,2023-02-19,2
126295,60075993,80133923,2023-02-21,2
126297,60074155,80133925,2023-02-22,2
126299,60074125,80133928,2023-02-25,2
126300,60075861,80133771,2023-02-20,2
126302,60075987,80133773,2023-02-27,2
126304,60076065,80133775,2023-02-18,2
126312,60074514,80133306,2023-02-13,2
126319,60075353,80133931,2023-02-23,2
126320,60075603,80133932,2023-02-22,2
126323,60075857,80133103,2023-02-14,2
126326,60075788,80132663,2023-02-07,2
126327,60075787,80132664,2023-02-08,2
126328,60076088,80132665,2023-02-06,2
126329,60075792,80132666,2023-02-08,2
126330,60075783,80132667,2023-02-07,2
126331,60074590,80132668,2023-02-05,2
126332,60059672,80133311,2023-02-11,2
126333,60075912,80133312,2023-02-20,2
126334,60075817,80133313,2023-02-20,2
126335,60075877,80133314,2023-02-20,2
126337,60075463,80133778,2023-02-26,2
126339,60075602,80133933,2023-02-22,2
126340,60075602,80133934,2023-02-22,2
126341,60076430,80133936,2023-02-23,2
126343,60076124,80133107,2023-02-07,2
126346,60074826,80132669,2023-02-07,2
126347,60076088,80132670,2023-02-06,2
126348,60070796,80132671,2023-02-10,2
126350,60076102,80132673,2023-02-06,2
126352,60074514,80133780,2023-02-21,2
126357,60005807,80133112,2023-02-07,2
126358,60005807,80133113,2023-02-07,2
126361,60075938,80133939,2023-02-21,2
126362,60075877,80133315,2023-02-21,2
126363,60075835,80133316,2023-02-16,2
126364,60075808,80133317,2023-02-16,2
126365,60075835,80133318,2023-02-15,2
126366,60075836,80133319,2023-02-16,2
126367,60075582,80133320,2023-02-13,2
126379,60074514,80133119,2023-02-14,2
126385,60075817,80133321,2023-02-15,2
126389,60007436,80133325,2023-02-13,2
126394,60075631,80132687,2023-02-09,2
126395,60075311,80132688,2023-02-07,2
126396,60074742,80133785,2023-02-28,2
126400,60007436,80133326,2023-02-13,2
126404,60076150,80133330,2023-02-14,2
126407,60076430,80133945,2023-02-23,2
126409,60075181,80133333,2023-02-12,2
126413,60074509,80133337,2023-02-13,2
126414,60075938,80133338,2023-02-10,2
126415,60076247,80133946,2023-02-23,2
126417,60076247,80133948,2023-02-23,2
126418,60076430,80133949,2023-02-23,2
126420,60076022,80133951,2023-02-23,2
126421,60074266,80132689,2023-02-15,2
126424,60075247,80133339,2023-02-13,2
126425,60074489,80133340,2023-02-14,2
126426,60076042,80133341,2023-02-17,2
126427,60075734,80133342,2023-02-14,2
126428,60075807,80133343,2023-02-15,2
126429,60074503,80133344,2023-02-13,2
126430,60076152,80133345,2023-02-11,2
126431,60075734,80133346,2023-02-14,2
126435,60076430,80133953,2023-02-23,2
126436,60074087,80133955,2023-02-26,2
126437,60074757,80133956,2023-02-22,2
126438,60076430,80133957,2023-02-23,2
126442,60074488,80133349,2023-02-13,2
126443,60074489,80133350,2023-02-13,2
126444,60076152,80133351,2023-02-11,2
126445,60074509,80133352,2023-02-13,2
126446,60076531,80134143,2023-02-24,2
126447,60075183,80134144,2023-02-24,2
126448,60076531,80134145,2023-02-24,2
126450,60074496,80133792,2023-02-17,2
126451,60076021,80133793,2023-03-03,1
126453,60076247,80133959,2023-02-23,2
126455,60076157,80133961,2023-02-22,2
126456,60075658,80132690,2023-02-08,2
126464,60075911,80133353,2023-02-24,2
126465,60075247,80133354,2023-02-14,2
126466,60075807,80133355,2023-02-15,2
126467,60074503,80133356,2023-02-13,2
126468,60075886,80134146,2023-02-25,2
126469,60075545,80134147,2023-02-25,2
126470,60074741,80134148,2023-02-23,2
126471,60074496,80133795,2023-02-17,2
126476,60057789,80132699,2023-02-17,2
126480,60075699,80132704,2023-02-10,2
126482,60074412,80132706,2023-02-05,2
126483,60075715,80132707,2023-02-10,2
126484,60074542,80132708,2023-02-08,2
126485,60076362,80133798,2023-02-17,2
126490,60074212,80133358,2023-02-13,2
126491,60075149,80133360,2023-02-13,2
126504,60075085,80132710,2023-02-03,2
126510,60075764,80133969,2023-02-24,2
126511,60074491,80133970,2023-02-24,2
126512,60076369,80133971,2023-02-27,2
126515,60074638,80133974,2023-02-24,2
126517,60074212,80133367,2023-02-13,2
126526,60069096,80133977,2023-02-24,2
126535,60073308,80132720,2023-02-07,2
126543,60076368,80133983,2023-02-21,2
126550,60075898,80133809,2023-02-21,2
126552,60076259,80134156,2023-03-07,1
126555,60076262,80134159,2023-02-27,2
126557,60076344,80133987,2023-02-23,2
126560,60074478,80133990,2023-03-04,1
126571,60076262,80134161,2023-02-26,2
126572,60075545,80134162,2023-02-25,2
126575,60074684,80132723,2023-02-07,2
126579,60074684,80132727,2023-02-07,2
126583,60075778,80133816,2023-02-17,2
126585,60075885,80133818,2023-02-17,2
126586,60074478,80133992,2023-03-04,1
126591,60075898,80133819,2023-02-21,2
126593,60075885,80133821,2023-02-20,2
126594,60074835,80133822,2023-02-17,2
126596,60074835,80133824,2023-02-17,2
126599,60073308,80132732,2023-02-07,2
126601,60076114,80132734,2023-02-09,2
126603,60075918,80132736,2023-02-09,2
126605,60072767,80132739,2023-02-06,2
126610,60076181,80134166,2023-02-27,2
126614,60050224,80133994,2023-02-23,2
126616,60076160,80133996,2023-02-23,2
126617,60074682,80133825,2023-02-27,2
126618,60075898,80133826,2023-02-21,2
126620,60074835,80133828,2023-02-17,2
126632,60075262,80134170,2023-02-23,2
126634,60075634,80134172,2023-02-24,2
126636,60076247,80133997,2023-02-23,2
126637,60074735,80133998,2023-02-23,2
126639,60074835,80133830,2023-02-17,2
126640,60075067,80133831,2023-02-23,2
126641,60074835,80133832,2023-02-17,2
126646,60076290,80133999,2023-02-23,2
126649,60075203,80134175,2023-02-23,2
126653,60076006,80133835,2023-02-22,2
126658,60075852,80133392,2023-02-13,2
126662,60074141,80132751,2023-02-07,2
126663,60074550,80132752,2023-02-08,2
126667,60075138,80134002,2023-02-23,2
126670,60075882,80134179,2023-02-24,2
126671,60075870,80134180,2023-02-24,2
126680,60074761,80134006,2023-02-22,2
126683,60074808,80134009,2023-02-21,2
126684,60075085,80134010,2023-02-23,2
126685,60076365,80134011,2023-02-21,2
126686,60076114,80134013,2023-02-25,2
126689,60076129,80132757,2023-02-06,2
126690,60076127,80132758,2023-02-06,2
126691,60074691,80132759,2023-02-08,2
126693,60076512,80134186,2023-02-23,2
126694,60076512,80134187,2023-02-23,2
126695,60076525,80134188,2023-02-24,2
126696,60076512,80134190,2023-02-23,2
126697,60076512,80134191,2023-02-23,2
126698,60074568,80134192,2023-02-24,2
126700,60075884,80134194,2023-02-23,2
126705,60075885,80133843,2023-02-20,2
126706,60012280,80133844,2023-03-10,1
126709,60076494,80134014,2023-02-23,2
126711,60075809,80134016,2023-02-28,2
126714,60076071,80134019,2023-02-23,2
126717,60075788,80134199,2023-02-28,2
126718,60075465,80134200,2023-02-24,2
126719,60076106,80134201,2023-02-24,2
126725,60076091,80134025,2023-02-23,2
126727,60076494,80134027,2023-02-27,2
126728,60076505,80134028,2023-02-24,2
126729,60076494,80134029,2023-02-24,2
126731,60074483,80134204,2023-02-23,2
126732,60073102,80134205,2023-02-27,2
126735,60075787,80134208,2023-03-01,1
126736,60075782,80134209,2023-03-02,1
126737,60076366,80134210,2023-02-25,2
126740,60076220,80134548,2023-03-08,1
126741,60073308,80134549,2023-03-02,1
126744,60076418,80134552,2023-03-02,1
126745,60076851,80134948,2023-03-06,1
126747,60076472,80134951,2023-03-03,1
126748,60076472,80134952,2023-03-03,1
126749,60076472,80134953,2023-03-02,1
126750,60074796,80134954,2023-03-10,1
126751,60072782,80134030,2023-02-24,2
126752,60076494,80134031,2023-02-23,2
126754,60076505,80134033,2023-02-24,2
126755,60076494,80134034,2023-02-24,2
126756,60075783,80134035,2023-02-27,2
126758,60076505,80134037,2023-02-23,2
126759,60076773,80134955,2023-03-09,1
126768,60075319,80133400,2023-02-21,2
126769,60076494,80134038,2023-02-24,2
126770,60076505,80134039,2023-02-23,2
126772,60076505,80134041,2023-02-23,2
126773,60076505,80134042,2023-02-24,2
126775,60076496,80134044,2023-02-27,2
126776,60076494,80134045,2023-02-23,2
126778,60074558,80134554,2023-03-03,1
126783,60075911,80133403,2023-02-24,2
126784,60074144,80133404,2023-02-15,2
126785,60076197,80134213,2023-02-27,2
126788,60074826,80134216,2023-03-01,1
126791,60074396,80134961,2023-03-06,1
126793,60076602,80134558,2023-03-02,1
126794,60076709,80134559,2023-03-02,1
126797,60076642,80134562,2023-03-03,1
126799,60076502,80134047,2023-02-27,2
126800,60076505,80134048,2023-02-24,2
126807,60076034,80133411,2023-02-14,2
126809,60074609,80133413,2023-02-14,2
126810,60076650,80134563,2023-03-02,1
126812,60075792,80134566,2023-03-04,1
126813,60075918,80134567,2023-03-08,1
126814,60075558,80134568,2023-03-07,1
126817,60075326,80134571,2023-03-07,1
126818,60076527,80134572,2023-03-02,1
126819,60075918,80134573,2023-03-08,1
126820,60075798,80134575,2023-03-05,1
126821,60075886,80134576,2023-03-08,1
126822,60076709,80134577,2023-03-02,1
126823,60076637,80134578,2023-03-02,1
126825,60076272,80134050,2023-02-23,2
126826,60073789,80134051,2023-03-06,1
126830,60074757,80134219,2023-02-28,2
126833,60076156,80133416,2023-02-23,2
126834,60076156,80133418,2023-02-13,2
126836,60075886,80134581,2023-03-08,1
126841,60074757,80134054,2023-02-24,2
126843,60076505,80134056,2023-02-23,2
126845,60074526,80134966,2023-03-06,1
126847,60075498,80133420,2023-02-25,2
126848,60075938,80133421,2023-02-15,2
126849,60076088,80133422,2023-02-14,2
126850,60076088,80133423,2023-02-14,2
126851,60075204,80134220,2023-02-24,2
126852,60075197,80134221,2023-02-27,2
126854,60076259,80134224,2023-03-05,1
126858,60076262,80134968,2023-03-06,1
126859,60076088,80133424,2023-02-14,2
126862,60075573,80133428,2023-02-24,2
126863,60075582,80133429,2023-02-13,2
126865,60076634,80134228,2023-02-27,2
126873,60075237,80134591,2023-03-03,1
126874,60076056,80133430,2023-02-27,2
126875,60076056,80133431,2023-02-27,2
126877,60076056,80133433,2023-02-15,2
126879,60076283,80134229,2023-02-27,2
126880,60075545,80134230,2023-02-25,2
126881,60076283,80134231,2023-03-09,1
126882,60076591,80134232,2023-02-27,2
126886,60076696,80134975,2023-03-05,1
126894,60074148,80133442,2023-02-15,2
126895,60075818,80133443,2023-02-16,2
126897,60074147,80133445,2023-02-15,2
126899,60074118,80133447,2023-02-15,2
126900,60075684,80133448,2023-02-16,2
126901,60075834,80133449,2023-02-16,2
126902,60075116,80134592,2023-03-07,1
126903,60074676,80134593,2023-03-03,1
126904,60074152,80134594,2023-03-03,1
126905,60076561,80134595,2023-03-08,1
126907,60076170,80134597,2023-03-07,1
126909,60074722,80134600,2023-03-03,1
126911,60076591,80134233,2023-02-27,2
126919,60074683,80134605,2023-03-06,1
126920,60074722,80134606,2023-03-03,1
126923,60076290,80134068,2023-03-04,1
126924,60074680,80134069,2023-02-27,2
126927,60074683,80134609,2023-03-06,1
126928,60076617,80134610,2023-03-01,1
126929,60075288,80134611,2023-03-02,1
126933,60075800,80134074,2023-02-22,2
126934,60076230,80134613,2023-03-08,1
126936,60073308,80134615,2023-03-02,1
126938,60075283,80134617,2023-03-07,1
126939,60076429,80134618,2023-03-07,1
126940,60076429,80134619,2023-03-07,1
126942,60074550,80134621,2023-03-03,1
126946,60075523,80134627,2023-03-02,1
126947,60076531,80134240,2023-02-24,2
126950,60076259,80134077,2023-03-06,1
126952,60076531,80134242,2023-02-24,2
126953,60076366,80134243,2023-02-25,2
126954,60075303,80134244,2023-02-27,2
126955,60074835,80134245,2023-02-24,2
126956,60076283,80134246,2023-02-27,2
126957,60074758,80134247,2023-02-27,2
126958,60074835,80134248,2023-02-27,2
126960,60074835,80134250,2023-02-27,2
126962,60074741,80134079,2023-02-23,2
126963,60075925,80134080,2023-02-24,2
126965,60075872,80134082,2023-02-24,2
126966,60076311,80134083,2023-02-26,2
126967,60075448,80134084,2023-02-24,2
126968,60075221,80134085,2023-02-24,2
126969,60075880,80134087,2023-02-24,2
126970,60075216,80134088,2023-02-24,2
126971,60069067,80134089,2023-02-25,2
126972,60074120,80134630,2023-03-06,1
126973,60076283,80134252,2023-02-27,2
126975,60076283,80134254,2023-02-27,2
126976,60076011,80134255,2023-02-24,2
126977,60076283,80134256,2023-02-27,2
126978,60076367,80134257,2023-02-25,2
126979,60076186,80134258,2023-02-27,2
126980,60076283,80134259,2023-02-27,2
126981,60076377,80134090,2023-02-24,2
126982,60075872,80134091,2023-02-24,2
126983,60074747,80134092,2023-02-23,2
126984,60075911,80134093,2023-02-24,2
126988,60074152,80134634,2023-03-03,1
126989,60076367,80134261,2023-02-25,2
126992,60074147,80133452,2023-02-15,2
126996,60075183,80134636,2023-03-02,1
126998,60076559,80134638,2023-03-06,1
126999,60076283,80134262,2023-02-27,2
127000,60076186,80134263,2023-02-27,2
127001,60075545,80134264,2023-02-28,2
127002,60076494,80134639,2023-03-03,1
127003,60007949,80134640,2023-03-01,1
127006,60075434,80134978,2023-03-10,1
127007,60076049,80134979,2023-03-10,1
127009,60076176,80134644,2023-03-03,1
127010,60075921,80134645,2023-03-03,1
127011,60076873,80134647,2023-03-07,1
127013,60076186,80134267,2023-02-27,2
127014,60076186,80134268,2023-02-27,2
127015,60076367,80134269,2023-02-25,2
127016,60056317,80134270,2023-02-27,2
127018,60074118,80133456,2023-02-16,2
127019,60076226,80133457,2023-02-17,2
127026,60056317,80134653,2023-03-03,1
127027,60076199,80134271,2023-02-28,2
127029,60076103,80134273,2023-02-27,2
127030,60074130,80134274,2023-02-27,2
127031,60076125,80134654,2023-03-04,1
127032,60076696,80134655,2023-03-05,1
127033,60076049,80134981,2023-03-10,1
127038,60076696,80134658,2023-03-05,1
127039,60073308,80134659,2023-03-02,1
127043,60075078,80134984,2023-03-04,1
127044,60075658,80134985,2023-03-06,1
127045,60076186,80134276,2023-02-27,2
127046,60076088,80134277,2023-02-27,2
127048,60076299,80134279,2023-02-27,2
127049,60076186,80134280,2023-02-27,2
127061,60076221,80133474,2023-02-20,2
127062,60073308,80134662,2023-03-01,1
127063,60076625,80134663,2023-03-05,1
127064,60074684,80134664,2023-03-06,1
127065,60075898,80134665,2023-03-03,1
127067,60075839,80134667,2023-03-09,1
127068,60076712,80134668,2023-03-03,1
127069,60076186,80134282,2023-02-27,2
127070,60076186,80134283,2023-02-27,2
127071,60076103,80134285,2023-02-27,2
127072,60076191,80133475,2023-02-20,2
127073,60007949,80133476,2023-02-14,2
127074,60043846,80133477,2023-02-17,2
127075,60007949,80133478,2023-02-14,2
127076,60075887,80134669,2023-03-09,1
127077,60076539,80134288,2023-02-25,2
127078,60076492,80134290,2023-02-27,2
127079,60076326,80134291,2023-03-06,1
127080,60076492,80134292,2023-02-27,2
127081,60075667,80134293,2023-02-27,2
127085,60007949,80133479,2023-02-14,2
127086,60074148,80133480,2023-02-20,2
127087,60075804,80133481,2023-02-18,2
127088,60075834,80133482,2023-02-21,2
127090,60076125,80134671,2023-03-03,1
127092,60076531,80134673,2023-03-06,1
127094,60076531,80134675,2023-03-06,1
127096,60076498,80134677,2023-03-02,1
127099,60074111,80134097,2023-02-28,2
127102,60076559,80134296,2023-02-26,2
127103,60076326,80134297,2023-03-06,1
127104,60075827,80134298,2023-03-01,1
127105,60074939,80134990,2023-03-10,1
127106,60074577,80134991,2023-03-02,1
127107,60074939,80134993,2023-03-10,1
127109,60074479,80134679,2023-03-04,1
127110,60076441,80134680,2023-03-07,1
127111,60076531,80134681,2023-03-04,1
127112,60076417,80134682,2023-03-09,1
127115,60074152,80133487,2023-02-15,2
127116,60074153,80133488,2023-02-15,2
127120,60075825,80134300,2023-02-28,2
127122,60075821,80134302,2023-03-01,1
127125,60074679,80133490,2023-02-16,2
127126,60074144,80133491,2023-02-22,2
127127,60075180,80134995,2023-03-02,1
127129,60076441,80134683,2023-03-07,1
127130,60076441,80134684,2023-03-07,1
127133,60076827,80134687,2023-03-01,1
127138,60073255,80134308,2023-02-27,2
127139,60073255,80134309,2023-02-27,2
127140,60074679,80133492,2023-02-16,2
127141,60074679,80133493,2023-02-16,2
127142,60074459,80133494,2023-02-18,2
127143,60075688,80133495,2023-02-20,2
127144,60075688,80133496,2023-02-22,2
127146,60075092,80135003,2023-03-06,1
127147,60076259,80134688,2023-03-05,1
127148,60076441,80134689,2023-03-07,1
127150,60076129,80134691,2023-03-03,1
127152,60076642,80135006,2023-03-05,1
127156,60075100,80134695,2023-03-02,1
127158,60076695,80134697,2023-03-07,1
127159,60074665,80134698,2023-03-03,1
127160,60074152,80134699,2023-03-03,1
127161,60076559,80134100,2023-02-23,2
127162,60074971,80134101,2023-02-26,2
127164,60074559,80134103,2023-03-08,1
127165,60076559,80134104,2023-02-23,2
127169,60076473,80134310,2023-02-24,2
127171,60076613,80134312,2023-02-27,2
127172,60076397,80134313,2023-02-27,2
127175,60075634,80134108,2023-02-24,2
127177,60076186,80134110,2023-02-22,2
127179,60076186,80134112,2023-02-22,2
127186,60076172,80133497,2023-02-19,2
127189,60075864,80133500,2023-02-27,2
127190,60074153,80133501,2023-02-15,2
127196,60076559,80134125,2023-02-24,2
127202,60074031,80135009,2023-03-02,1
127203,60075180,80135010,2023-03-02,1
127204,60076281,80135012,2023-03-07,1
127205,60076281,80135014,2023-03-07,1
127207,60076506,80135016,2023-03-03,1
127209,60076888,80135019,2023-03-07,1
127212,60010074,80134701,2023-03-04,1
127213,60076695,80134702,2023-03-07,1
127215,60075236,80134704,2023-03-09,1
127219,60073752,80134708,2023-03-02,1
127223,60075849,80133502,2023-02-22,2
127224,60075864,80133503,2023-02-27,2
127225,60075382,80135276,2023-03-08,1
127230,60076397,80134321,2023-03-04,1
127231,60076584,80134322,2023-02-24,2
127235,60076399,80134326,2023-02-27,2
127236,60074130,80134327,2023-02-27,2
127237,60076398,80134328,2023-02-26,2
127238,60076320,80135022,2023-03-06,1
127242,60074684,80134711,2023-03-07,1
127244,60023613,80134713,2023-03-02,1
127245,60076477,80134714,2023-03-10,1
127249,60073026,80135279,2023-03-07,1
127251,60077026,80135281,2023-03-08,1
127252,60076754,80135282,2023-03-08,1
127253,60076900,80135283,2023-03-08,1
127254,60076369,80134329,2023-02-26,2
127255,60076015,80134330,2023-02-27,2
127256,60076043,80134332,2023-02-27,2
127264,60076675,80135284,2023-03-06,1
127265,60073443,80135286,2023-03-05,1
127267,60076399,80134335,2023-02-27,2
127270,60076399,80134338,2023-02-27,2
127271,60076286,80134339,2023-02-27,2
127272,60074117,80134340,2023-02-28,2
127276,60076424,80134724,2023-03-02,1
127280,60069836,80135289,2023-03-07,1
127281,60076633,80135290,2023-03-09,1
127287,60076570,80134729,2023-03-03,1
127289,60074455,80134731,2023-03-09,1
127290,60076794,80134732,2023-03-01,1
127291,60074154,80135292,2023-03-07,1
127292,60076848,80135293,2023-03-07,1
127297,60076399,80134343,2023-02-27,2
127298,60076368,80134344,2023-02-24,2
127299,60075802,80134345,2023-02-27,2
127300,60076299,80134346,2023-02-27,2
127301,60075888,80135029,2023-03-02,1
127302,60075391,80135030,2023-03-09,1
127305,60075183,80134137,2023-02-23,2
127307,60076838,80135630,2023-03-06,1
127308,60076299,80134347,2023-02-27,2
127309,60076399,80134348,2023-02-27,2
127310,60075811,80134349,2023-02-27,2
127311,60076157,80134350,2023-02-27,2
127312,60076230,80134351,2023-02-27,2
127313,60076157,80134352,2023-02-27,2
127316,60075800,80134733,2023-03-02,1
127317,60071860,80134734,2023-03-02,1
127318,60074514,80135631,2023-03-06,1
127319,60030653,80135633,2023-03-06,1
127321,60076151,80134355,2023-02-28,2
127322,60076088,80134356,2023-02-28,2
127323,60076156,80134357,2023-02-25,2
127324,60076299,80134358,2023-02-27,2
127325,60076157,80134359,2023-02-27,2
127331,60076878,80135037,2023-03-04,1
127338,60073752,80134735,2023-03-02,1
127339,60075799,80134736,2023-03-02,1
127340,60076570,80134737,2023-03-03,1
127345,60076088,80134360,2023-02-28,2
127349,60076262,80134364,2023-03-06,1
127354,60076627,80135042,2023-03-09,1
127358,60076888,80134741,2023-03-07,1
127360,60076765,80134743,2023-03-06,1
127361,60076882,80135311,2023-03-06,1
127366,60075958,80134365,2023-03-04,1
127369,60076399,80134368,2023-02-28,2
127370,60076103,80134369,2023-02-27,2
127371,60076157,80134370,2023-02-27,2
127374,60076472,80135045,2023-03-03,1
127376,60075631,80135048,2023-03-10,1
127377,60076197,80135049,2023-03-07,1
127380,60074667,80135052,2023-03-04,1
127381,60076776,80135639,2023-03-08,1
127383,60076379,80134745,2023-03-02,1
127384,60076272,80134746,2023-03-01,1
127385,60076100,80134748,2023-03-04,1
127388,60073410,80135318,2023-03-06,1
127391,60073443,80135321,2023-03-06,1
127392,60076612,80135322,2023-03-07,1
127395,60074837,80135055,2023-03-03,1
127396,60076362,80135056,2023-03-06,1
127397,60074837,80135058,2023-03-03,1
127399,60076103,80134372,2023-02-27,2
127400,60076498,80134373,2023-02-25,2
127401,60076299,80134375,2023-02-28,2
127402,60076088,80134376,2023-02-27,2
127403,60076151,80134377,2023-02-28,2
127407,60076707,80135072,2023-03-08,1
127410,60074674,80135075,2023-03-04,1
127412,60076810,80135077,2023-03-05,1
127413,60076641,80135078,2023-03-05,1
127414,60073410,80135323,2023-03-06,1
127417,60073410,80135326,2023-03-06,1
127421,60076788,80135084,2023-03-06,1
127422,60076347,80135085,2023-03-08,1
127427,60040299,80134379,2023-03-01,1
127430,60075545,80134382,2023-03-01,1
127432,60050221,80134753,2023-03-02,1
127435,60076983,80135093,2023-03-05,1
127436,60025381,80135095,2023-03-09,1
127439,60076883,80135099,2023-03-04,1
127440,60025381,80135101,2023-03-09,1
127441,60075279,80135102,2023-03-02,1
127443,60076188,80135645,2023-03-10,1
127446,60076473,80135105,2023-03-02,1
127454,60076824,80135111,2023-03-05,1
127456,60076180,80135648,2023-03-06,1
127457,60075517,80135649,2023-03-08,1
127458,60076693,80135650,2023-03-08,1
127461,60075659,80134389,2023-02-27,2
127463,60075952,80135116,2023-03-05,1
127467,60076241,80134756,2023-03-02,1
127468,60076100,80134757,2023-03-04,1
127471,60074116,80134392,2023-03-07,1
127472,60075667,80134394,2023-02-27,2
127473,60076222,80134395,2023-02-28,2
127475,60074597,80134397,2023-02-28,2
127477,60076162,80134399,2023-02-27,2
127478,60076767,80134400,2023-02-28,2
127481,60075954,80135125,2023-03-05,1
127482,60075372,80135330,2023-03-07,1
127483,60076962,80135331,2023-03-06,1
127484,60077007,80135332,2023-03-07,1
127485,60076785,80135126,2023-03-06,1
127486,60075952,80135127,2023-03-05,1
127487,60075657,80135655,2023-03-08,1
127489,60075617,80135335,2023-03-10,1
127490,60074485,80135130,2023-03-02,1
127491,60076824,80135131,2023-03-05,1
127493,60075172,80135135,2023-03-03,1
127495,60075345,80135137,2023-03-10,1
127496,60074713,80135138,2023-03-07,1
127497,60076557,80135139,2023-03-03,1
127498,60075374,80135336,2023-03-07,1
127499,60076860,80135140,2023-03-06,1
127500,60075092,80134402,2023-02-28,2
127501,60074160,80134403,2023-02-28,2
127507,60076422,80134411,2023-02-28,2
